tsec,tnsec,seqNo,id,type,side,bid0,bid1,bid2,bid3,bid4,bid_size0,bid_size1,bid_size2,bid_size3,bid_size4,ask0,ask1,ask2,ask3,ask4,ask_size0,ask_size1,ask_size2,ask_size3,ask_size4
1780791932,152337000,0,1,U,N,6082692000000,0,0,0,0,15953000,0,0,0,0,6082693000000,0,0,0,0,441726000,0,0,0,0
1780791932,254934000,3,1,U,N,6082692000000,0,0,0,0,15753000,0,0,0,0,6082693000000,0,0,0,0,441726000,0,0,0,0
1780791932,351440000,6,1,U,N,6082692000000,0,0,0,0,15499000,0,0,0,0,6082693000000,0,0,0,0,441726000,0,0,0,0
1780791932,459558000,8,1,U,N,6082692000000,0,0,0,0,15490000,0,0,0,0,6082693000000,0,0,0,0,441726000,0,0,0,0
1780791932,550864000,11,1,U,N,6082692000000,0,0,0,0,15290000,0,0,0,0,6082693000000,0,0,0,0,441726000,0,0,0,0
1780791932,650916000,13,1,U,N,6082692000000,0,0,0,0,15527000,0,0,0,0,6082693000000,0,0,0,0,441745000,0,0,0,0
1780791932,752467000,16,1,U,N,6082692000000,0,0,0,0,15318000,0,0,0,0,6082693000000,0,0,0,0,441745000,0,0,0,0
1780791932,852817000,19,1,U,N,6082692000000,0,0,0,0,1826000,0,0,0,0,6082693000000,0,0,0,0,443745000,0,0,0,0
1780791932,951426000,23,1,U,N,6082692000000,0,0,0,0,1836000,0,0,0,0,6082693000000,0,0,0,0,443745000,0,0,0,0
1780791933,51213000,25,1,U,N,6082692000000,0,0,0,0,1922000,0,0,0,0,6082693000000,0,0,0,0,443756000,0,0,0,0
1780791933,153208000,27,1,U,N,6082692000000,0,0,0,0,1703000,0,0,0,0,6082693000000,0,0,0,0,443756000,0,0,0,0
1780791933,256087000,66,1,U,N,6082692000000,6082554000000,0,0,0,1703000,27807000,0,0,0,6082555000000,6082693000000,0,0,0,429126000,443756000,0,0,0
1780791933,350800000,68,1,U,N,6082692000000,6082554000000,0,0,0,1703000,172000,0,0,0,6082555000000,6082693000000,0,0,0,431053000,443756000,0,0,0
1780791933,450966000,125,1,U,N,6082692000000,6082554000000,6082136000000,0,0,1703000,172000,102489000,0,0,6082137000000,6082555000000,6082693000000,0,0,320230000,431053000,443756000,0,0
1780791933,551086000,127,1,U,N,6082692000000,6082554000000,6082136000000,0,0,1703000,172000,71095000,0,0,6082137000000,6082555000000,6082693000000,0,0,357803000,431053000,443756000,0,0
1780791933,650422000,135,1,U,N,6082692000000,6082554000000,6082136000000,0,0,1703000,172000,68176000,0,0,6082137000000,6082555000000,6082693000000,0,0,359712000,431053000,443756000,0,0
1780791933,752831000,138,1,U,N,6082692000000,6082554000000,6082136000000,0,0,1703000,172000,68345000,0,0,6082137000000,6082555000000,6082693000000,0,0,359253000,431053000,443756000,0,0
1780791933,859980000,141,1,U,N,6082692000000,6082554000000,6082136000000,0,0,1703000,172000,13379000,0,0,6082137000000,6082555000000,6082693000000,0,0,359241000,431053000,443756000,0,0
1780791933,953289000,233,1,U,N,6082692000000,6082554000000,6082136000000,6081718000000,0,1703000,172000,13379000,88148000,0,6081719000000,6082137000000,6082555000000,6082693000000,0,335163000,359241000,431053000,443756000,0
1780791934,50744000,238,1,U,N,6082692000000,6082554000000,6082136000000,6081718000000,0,1703000,172000,13379000,90153000,0,6081719000000,6082137000000,6082555000000,6082693000000,0,343064000,359241000,431053000,443756000,0
1780791934,161255000,240,1,U,N,6082692000000,6082554000000,6082136000000,6081718000000,0,1703000,172000,13379000,90163000,0,6081719000000,6082137000000,6082555000000,6082693000000,0,343960000,359241000,431053000,443756000,0
1780791934,250863000,242,1,U,N,6082692000000,6082554000000,6082136000000,6081718000000,0,1703000,172000,13379000,90163000,0,6081719000000,6082137000000,6082555000000,6082693000000,0,343960000,359241000,431053000,443756000,0
1780791934,350722000,244,1,U,N,6082692000000,6082554000000,6082136000000,6081718000000,0,1703000,172000,13379000,90172000,0,6081719000000,6082137000000,6082555000000,6082693000000,0,346969000,359241000,431053000,443756000,0
1780791934,450924000,246,1,U,N,6082692000000,6082554000000,6082136000000,6081718000000,0,1703000,172000,13379000,92803000,0,6081719000000,6082137000000,6082555000000,6082693000000,0,346988000,359241000,431053000,443756000,0
